"Component Ref ID"; "Pin Ref ID"; "Net Name"; "Mount"; "Side"; posX; posY
"U1"; "R2"; "MMC1_DAT1"; "SMD"; "TOP";35.5616; -73.3374
"U1"; "R1"; "MMC1_DAT2"; "SMD"; "TOP";35.5616; -74.6074
"U1"; "T16"; " N/C_00099"; "SMD"; "TOP";36.8316; -55.5574
"U1"; "T15"; "UART1_TXEN"; "SMD"; "TOP";36.8316; -56.8274
"U1"; "T14"; "USR1"; "SMD"; "TOP";36.8316; -58.0974
"U1"; "T13"; "ENET_LED0/NWAYEN"; "SMD"; "TOP";36.8316; -59.3674
"U1"; "T12"; "WDI"; "SMD"; "TOP";36.8316; -60.6374
"U1"; "T11"; " N/C_00087"; "SMD"; "TOP";36.8316; -61.9074
"U1"; "T10"; "VDD_5V"; "SMD"; "TOP";36.8316; -63.1774
"U1"; "T9"; "VDD_USB_5V"; "SMD"; "TOP";36.8316; -64.4474
"U1"; "T8"; "NetU1_N7"; "SMD"; "TOP";36.8316; -65.7174
"U1"; "T7"; "CFG_7"; "SMD"; "TOP";36.8316; -66.9874
"U1"; "T6"; "CFG_4"; "SMD"; "TOP";36.8316; -68.2574
"U1"; "T5"; "CFG_1"; "SMD"; "TOP";36.8316; -69.5274
"U1"; "T4"; "ADR_0"; "SMD"; "TOP";36.8316; -70.7974
"U1"; "T3"; "MMC1_DAT3"; "SMD"; "TOP";36.8316; -72.0674
"U1"; "T2"; "MMC1_DAT4"; "SMD"; "TOP";36.8316; -73.3374
"U1"; "T1"; "MMC1_DAT5"; "SMD"; "TOP";36.8316; -74.6074
"X3"; "2"; "DGND"; "SMD"; "TOP";33.0582; -52.5350
"X3"; "3"; "NetR22_2"; "SMD"; "TOP";34.6582; -52.5350
"X3"; "4"; "SYS_VDD1_3P3V"; "SMD"; "TOP";34.6582; -50.3350
"X3"; "1"; "NetR79_1"; "SMD"; "TOP";33.0582; -50.3350
"R22"; "1"; "NetC3_2"; "SMD"; "TOP";36.0014; -52.7214
"R22"; "2"; "NetR22_2"; "SMD"; "TOP";36.0014; -53.6214
"C138"; "1"; "SYS_VDD1_3P3V"; "SMD"; "TOP";35.9918; -50.3500
"C138"; "2"; "DGND"; "SMD"; "TOP";35.9918; -51.2500
"C137"; "1"; "SYS_VDD1_3P3V"; "SMD"; "TOP";36.9674; -50.3506
"C137"; "2"; "DGND"; "SMD"; "TOP";36.9674; -51.2506
"C136"; "1"; "DGND"; "SMD"; "TOP";42.2647; -26.4301
"C136"; "2"; "VLED"; "SMD"; "TOP";43.1647; -26.4301
"C135"; "1"; "DGND"; "SMD"; "TOP";4.5619; 0.8798
"C135"; "2"; "KEY_5V"; "SMD"; "TOP";5.4619; 0.8798
"C111"; "1"; "SYS_VDD1_3P3V"; "SMD"; "TOP";28.8410; -99.2453
"C111"; "2"; "DGND"; "SMD"; "TOP";29.7410; -99.2453
"TP156"; "1"; "DGND"; "SMD"; "TOP";45.5168; -24.5110
"R258"; "1"; "MMC0_CD"; "SMD"; "TOP";61.4420; -44.7265
"R258"; "2"; "NetJ25_9"; "SMD"; "TOP";62.3420; -44.7265
"R257"; "1"; "NetR257_1"; "SMD"; "TOP";17.6022; -53.4852
"R257"; "2"; "MMC0_CLK"; "SMD"; "TOP";17.6022; -52.5852
"J6"; "1"; "ETHA_TX_P"; "SMD"; "TOP";61.8112; -89.2160
"J6"; "2"; "ETHA_TX_N"; "SMD"; "TOP";61.8112; -90.2360
"J6"; "3"; "ETHB_RX_P"; "SMD"; "TOP";61.8112; -91.2560
"J6"; "4"; "NetJ6_4"; "SMD"; "TOP";61.8112; -92.2760
